% 1. Title: Directive Keywords present in file dataset_corrected.csv

@RELATION directive_keywords_3

@ATTRIBUTE id NUMERIC
@ATTRIBUTE keyword_count NUMERIC
@ATTRIBUTE is_directive {directive, non-directive, revise}

@DATA
71,0,non-directive
71,1,directive
71,2,directive
71,0,non-directive
71,0,non-directive
71,0,non-directive
71,0,non-directive
71,0,non-directive
71,0,non-directive
71,0,non-directive
71,2,directive
71,0,non-directive
71,0,non-directive
71,0,non-directive
71,0,non-directive
71,0,non-directive
71,0,non-directive
71,1,directive
71,1,directive
71,0,non-directive
71,0,non-directive
71,0,non-directive
71,0,non-directive
71,0,non-directive
71,0,non-directive
72,0,non-directive
72,0,non-directive
72,0,non-directive
72,0,non-directive
72,0,non-directive
72,0,non-directive
73,18,directive
73,1,directive
73,0,non-directive
73,0,non-directive
73,1,directive
73,0,non-directive
73,2,directive
73,4,directive
73,0,non-directive
73,1,directive
73,0,non-directive
73,0,non-directive
73,1,directive
73,0,non-directive
73,2,directive
73,0,non-directive
73,0,non-directive
73,1,directive
73,0,non-directive
73,1,directive
73,0,non-directive
73,2,directive
73,2,directive
73,0,non-directive
73,1,directive
73,0,non-directive
73,1,directive
73,1,directive
73,1,directive
73,2,directive
73,2,directive
73,1,directive
73,1,directive
73,1,directive
73,2,directive
73,1,directive
73,1,directive
73,1,directive
73,0,non-directive
73,2,directive
73,0,non-directive
73,1,directive
73,0,non-directive
73,1,directive
73,1,directive
73,2,directive
73,2,directive
73,3,directive
73,0,non-directive
73,0,non-directive
73,1,directive
73,0,non-directive
73,1,directive
73,0,non-directive
73,2,directive
73,0,non-directive
73,2,directive
73,0,non-directive
73,2,directive
73,1,directive
73,1,directive
73,1,directive
73,1,directive
73,1,directive
73,1,directive
73,3,directive
73,1,directive
73,2,directive
73,1,directive
73,0,non-directive
73,1,directive
73,3,directive
73,1,directive
73,2,directive
73,2,directive
73,2,directive
73,2,directive
73,3,directive
73,1,directive
73,3,directive
73,3,directive
73,0,non-directive
73,2,directive
73,3,directive
73,4,directive
73,1,directive
73,1,directive
73,3,directive
73,2,directive
73,0,non-directive
73,2,directive
73,0,non-directive
73,4,directive
73,3,directive
73,1,directive
73,2,directive
73,6,directive
73,3,directive
73,4,directive
73,0,non-directive
73,0,non-directive
75,10,directive
75,3,directive
75,1,directive
75,0,non-directive
75,2,directive
75,0,non-directive
75,2,directive
75,0,non-directive
75,3,directive
75,1,directive
75,2,directive
75,2,directive
75,0,non-directive
75,4,directive
75,1,directive
75,3,directive
75,1,directive
75,0,non-directive
75,4,directive
75,0,non-directive
75,3,directive
75,1,directive
75,3,directive
75,0,non-directive
75,2,directive
75,0,non-directive
76,0,non-directive
76,0,non-directive
76,0,non-directive
76,0,non-directive
76,0,non-directive
76,0,non-directive
76,0,non-directive
76,0,non-directive
77,1,directive
77,0,non-directive
77,0,non-directive
77,0,non-directive
77,0,non-directive
77,0,non-directive
77,0,non-directive
77,0,non-directive
77,1,directive
77,0,non-directive
77,0,non-directive
77,0,non-directive
77,0,non-directive
77,0,non-directive
77,0,non-directive
77,0,non-directive
77,0,non-directive
77,0,non-directive
77,0,non-directive
78,1,directive
78,0,non-directive
78,0,non-directive
78,0,non-directive
78,0,non-directive
78,1,directive
78,0,non-directive
78,0,non-directive
78,0,non-directive
78,0,non-directive
78,0,non-directive
78,0,non-directive
78,0,non-directive
79,2,directive
79,0,non-directive
79,0,non-directive
79,1,directive
79,0,non-directive
79,1,directive
79,0,non-directive
79,1,directive
79,1,directive
79,1,directive
79,0,non-directive
79,0,non-directive
79,0,non-directive
79,0,non-directive
79,0,non-directive
79,0,non-directive
80,1,directive
80,0,non-directive
80,0,non-directive
80,1,directive
80,0,non-directive
80,0,non-directive
80,0,non-directive
80,0,non-directive
80,0,non-directive
80,0,non-directive
81,1,directive
81,0,non-directive
81,0,non-directive
81,0,non-directive
81,0,non-directive
81,0,non-directive
81,1,directive
81,1,directive
81,1,directive
81,0,non-directive
81,0,non-directive
81,0,non-directive
81,0,non-directive
81,0,non-directive
81,0,non-directive
81,0,non-directive
81,0,non-directive
81,0,non-directive
81,0,non-directive
81,0,non-directive
81,0,non-directive
82,2,directive
82,1,directive
82,1,directive
82,0,non-directive
82,0,non-directive
82,0,non-directive
82,0,non-directive
82,0,non-directive
82,0,non-directive
82,0,non-directive
82,0,non-directive
82,0,non-directive
83,1,directive
83,0,non-directive
83,0,non-directive
83,1,directive
83,0,non-directive
83,0,non-directive
83,0,non-directive
83,0,non-directive
83,0,non-directive
83,0,non-directive
83,0,non-directive
83,0,non-directive
83,0,non-directive
83,0,non-directive
83,0,non-directive
84,0,non-directive
84,0,non-directive
84,0,non-directive
84,0,non-directive
84,0,non-directive
84,0,non-directive
84,0,non-directive
84,0,non-directive
84,0,non-directive
84,0,non-directive
85,0,non-directive
85,0,non-directive
85,0,non-directive
85,0,non-directive
85,0,non-directive
85,0,non-directive
85,0,non-directive
85,0,non-directive
85,0,non-directive
87,0,non-directive
87,0,non-directive
87,0,non-directive
87,0,directive
88,0,non-directive
88,0,non-directive
89,0,non-directive
89,0,non-directive
91,1,directive
91,0,non-directive
91,1,revise
91,0,non-directive
91,0,non-directive
92,2,directive
92,0,non-directive
92,2,directive
92,0,directive
92,0,non-directive
92,0,non-directive
92,0,directive
93,0,non-directive
93,0,directive
93,0,non-directive
93,0,directive
94,0,non-directive
94,0,non-directive
94,0,non-directive
94,0,non-directive
94,0,non-directive
94,0,directive
94,0,directive
95,1,directive
95,0,non-directive
95,1,directive
95,0,non-directive
95,0,non-directive
96,2,directive
96,2,non-directive
96,0,non-directive
96,1,non-directive
96,0,non-directive
97,1,directive
97,1,non-directive
97,0,non-directive
97,0,non-directive
97,0,non-directive
97,0,non-directive
100,0,non-directive
100,0,non-directive
101,0,non-directive
101,0,non-directive
102,0,non-directive
102,0,non-directive
103,0,non-directive
103,0,non-directive
104,0,non-directive
104,0,non-directive
105,0,non-directive
105,0,non-directive
106,0,non-directive
106,0,non-directive
107,0,non-directive
107,0,non-directive
108,0,non-directive
108,0,non-directive
109,0,non-directive
109,0,non-directive
110,0,non-directive
110,0,non-directive
111,0,non-directive
111,0,non-directive
112,0,non-directive
112,0,non-directive
113,0,non-directive
113,0,non-directive
114,0,non-directive
114,0,non-directive
115,0,non-directive
115,0,non-directive
116,0,non-directive
116,0,non-directive
117,0,non-directive
117,0,non-directive
118,0,non-directive
118,0,non-directive
119,0,non-directive
119,0,non-directive
120,0,non-directive
120,0,non-directive
121,0,non-directive
121,0,non-directive
122,0,non-directive
122,0,directive
122,0,non-directive
123,1,directive
123,0,directive
123,1,directive
124,0,non-directive
124,0,non-directive
125,0,non-directive
125,0,non-directive
126,0,non-directive
126,0,non-directive
127,0,non-directive
127,0,non-directive
128,0,non-directive
128,0,non-directive
129,0,non-directive
129,0,non-directive
130,0,non-directive
130,0,non-directive
131,0,non-directive
131,0,non-directive
132,0,non-directive
132,0,non-directive
133,0,non-directive
133,0,non-directive
134,0,non-directive
134,0,non-directive
135,0,non-directive
135,0,non-directive
136,0,non-directive
136,0,non-directive
137,0,non-directive
137,0,non-directive
138,0,non-directive
138,0,non-directive
139,0,non-directive
139,0,non-directive
140,0,non-directive
140,0,non-directive
141,0,non-directive
141,0,non-directive
142,0,non-directive
142,0,non-directive
143,0,non-directive
143,0,non-directive
144,0,non-directive
144,0,non-directive
145,0,non-directive
145,0,non-directive
146,0,non-directive
146,0,non-directive
147,0,non-directive
147,0,non-directive
